x,y,size,text,color,topicID
1816.9121,953.95447,4.039486,Cognitive neuropsychology,#ffc1fc,001F196A
1362.0231,500.8329,4.109454,Clinical neuroscience,#ffc1fc,001FC4C8
1543.5819,1494.7235,4.0175434,Paternalism,#ffc1fc,0028E3FC
1609.5486,1431.8422,4.021746,Criminal psychology,#ffc1fc,0039B27F
1977.7393,961.79846,4.003132,Multimodal therapy,#ffc1fc,0043C5A5
1435.5574,1434.4404,4.0319844,Impression management,#ffc1fc,004C36BE
1766.4373,1114.9272,4.0830216,Psychodynamic psychotherapy,#ffc1fc,005349F5
1323.9868,1102.4672,4.3443036,Behavioural sciences,#ffc1fc,0054FE0E
1038.5807,891.36536,4.019504,Affective computing,#ffc1fc,00623E99
1543.3923,1282.0616,4.5068046,Cognitive restructuring,#ffc1fc,006428B2
1351.4635,813.5166,4.0900494,Connectionism,#ffc1fc,008206EC
1399.1998,1022.16504,4.082402,Abnormal psychology,#ffc1fc,00967524
2116.8733,1694.2217,4.0015014,Collaborative language systems,#ffc1fc,00B25E49
1580.3058,569.39166,4.087306,Spiking neural network,#ffc1fc,00B3041F
1721.463,1235.4069,4.2768044,Positive psychology,#ffc1fc,00BED02E
2424.3333,1212.4904,4.0034912,Advertising research,#ffc1fc,00C21390
1224.5569,1215.6355,4.47579,Music education,#ffc1fc,00CED130
1584.8765,931.48114,5.511745,Neuropsychology,#ffc1fc,00D8EEA6
1752.4902,798.8836,4.0285264,Affective neuroscience,#ffc1fc,00E2ADDC
1404.5323,762.1133,5.3476292,Psychophysics,#ffc1fc,00E6C2DB
1469.9342,611.6273,4.2616978,Computational neuroscience,#ffc1fc,00E942A8
1816.2644,1248.9142,4.054584,Child psychotherapy,#ffc1fc,00EC1381
1398.9592,1243.6158,4.3859238,Counseling psychology,#ffc1fc,00F928E8
1012.36145,708.0004,9.145819,Educational technology,#ffc1fc,00FAE71A
958.73846,819.7042,5.40909,Neurology,#ffc1fc,00FCD05B
1483.9806,1326.6224,4.614142,Social work,#ffc1fc,01022F52
1603.332,1063.1586,4.106186,Socially distributed cognition,#ffc1fc,0103F76A
1629.5732,801.79065,4.7771034,Cognitive neuroscience,#ffc1fc,0107CF55
1758.9175,1286.0403,4.03686,Critical psychology,#ffc1fc,010C0E1E
1978.8896,1138.1637,4.011887,Transpersonal psychology,#ffc1fc,0114E64F
1600.9489,1310.7439,4.0449936,Environmental psychology,#ffc1fc,011B6C04
1869.6746,910.7821,4.02937,Moral psychology,#ffc1fc,0126B878
1922.2443,1169.2566,4.0064094,Holism,#ffc1fc,01338CC2
1283.144,1168.466,4.5758072,Conflict resolution,#ffc1fc,014B4A6D
1736.0037,1049.8353,4.1230568,Consumer Behaviour,#ffc1fc,01623677
1512.3054,833.2361,4.434698,Psychophysiology,#ffc1fc,01694AB9
2177.3684,988.7321,4.003297,Cognitive neuropsychiatry,#ffc1fc,0170A177
1102.375,750.356,4.0257244,Sensory analysis,#ffc1fc,01719E6D
1260.8469,632.12897,4.0176586,Primatology,#ffc1fc,0171EB50
1660.3936,1262.914,4.1195968,Personality psychology,#ffc1fc,018B54C6
1147.4165,1373.7305,4.014508,Critical pedagogy,#ffc1fc,018C620B
1625.8798,996.56134,4.0631126,Gestalt psychology,#ffc1fc,01A182D6
1407.9202,1311.9268,4.806106,Psychological intervention,#ffc1fc,01A251E0
1197.1938,1403.88,4.0137196,Human communication,#ffc1fc,01D1FCFD
1581.0265,660.89,5.0222168,Systems neuroscience,#ffc1fc,01DD6DE3
1401.0869,1095.0612,5.8892098,Differential psychology,#ffc1fc,01DFAE7E
1487.6047,427.8369,4.003132,Integrative neuroscience,#ffc1fc,01F0DDAC
1815.8477,1573.9324,4.005154,Sports science,#ffc1fc,01FC53A5
973.105,1046.318,4.0094544,Cognitive ergonomics,#ffc1fc,02170A4B
2008.9502,1467.0071,4.007969,Quantitative psychology,#ffc1fc,021D7B9E
